OTRD_ID;OTRD_OTR_ID_ObjectTypeRelatinship;OTRD_OTR_ID_ConditionalObjectTypeRelationship;OTRD_RDT_ID_RelationshipDependencyType;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
1460;2012;2015;1;SAMRUMUser;2009-08-31 14:47:07.260;SAMRUMUser;2009-08-31 14:47:07.260;0x000000000002F26F
1461;2012;2016;1;SAMRUMUser;2009-08-31 14:49:21.010;SAMRUMUser;2009-08-31 14:49:21.010;0x000000000002F274
1462;2012;2017;1;SAMRUMUser;2009-08-31 14:52:22.950;SAMRUMUser;2009-08-31 14:52:22.950;0x000000000002F279
1463;2012;2018;1;SAMRUMUser;2009-08-31 14:55:44.933;SAMRUMUser;2009-08-31 14:55:44.933;0x000000000002F27E
1464;2018;2019;1;SAMRUMUser;2009-08-31 14:58:41.013;SAMRUMUser;2009-08-31 14:58:41.013;0x000000000002F283
1465;2018;2020;1;SAMRUMUser;2009-08-31 15:00:27.140;SAMRUMUser;2009-08-31 15:00:27.140;0x000000000002F288
1468;2012;2021;1;SAMRUMUser;2009-08-31 15:06:50.030;SAMRUMUser;2009-08-31 15:06:50.030;0x000000000002F294
1469;2012;2022;1;SAMRUMUser;2009-08-31 15:07:36.843;SAMRUMUser;2009-08-31 15:07:36.843;0x000000000002F296
1470;1041;2023;1;SAMRUMUser;2009-08-31 15:10:36.610;SAMRUMUser;2009-08-31 15:10:36.610;0x000000000002F29B
1471;1041;2024;1;SAMRUMUser;2009-08-31 15:13:38.597;SAMRUMUser;2009-08-31 15:13:38.597;0x000000000002F2A0
1472;1041;2025;1;SAMRUMUser;2009-08-31 15:16:35.707;SAMRUMUser;2009-08-31 15:16:35.707;0x000000000002F2A5
1473;1041;2026;1;SAMRUMUser;2009-08-31 15:18:46.127;SAMRUMUser;2009-08-31 15:18:46.127;0x000000000002F2AA
1475;2026;2028;1;SAMRUMUser;2009-08-31 15:23:40.427;SAMRUMUser;2009-08-31 15:23:40.427;0x000000000002F2B4
1476;2026;2029;1;SAMRUMUser;2009-08-31 15:25:30.020;SAMRUMUser;2009-08-31 15:25:30.020;0x000000000002F2B9
1477;2026;2027;1;SAMRUMUser;2009-08-31 15:26:17.193;SAMRUMUser;2009-08-31 15:26:17.193;0x000000000002F2BB
1497;1041;454;1;SAMRUMUser;2009-09-03 15:13:33.490;SAMRUMUser;2009-09-03 15:13:33.490;0x000000000002F3B1
1501;2048;2051;1;SAMRUMUser;2009-09-03 20:00:29.943;SAMRUMUser;2009-09-03 20:00:29.943;0x000000000002F3CB
1505;2031;2054;1;SAMRUMUser;2009-09-03 21:01:58.460;SAMRUMUser;2009-09-03 21:01:58.460;0x000000000002F3FF
1506;2031;2032;1;SAMRUMUser;2009-09-04 08:57:30.113;SAMRUMUser;2009-09-04 08:57:30.113;0x000000000002F402
1507;2031;2034;1;SAMRUMUser;2009-09-04 08:58:13.583;SAMRUMUser;2009-09-04 08:58:13.583;0x000000000002F404
1509;2031;2053;1;SAMRUMUser;2009-09-04 08:59:55.303;SAMRUMUser;2009-09-04 08:59:55.303;0x000000000002F409
1510;2031;2033;1;SAMRUMUser;2009-09-04 09:00:40.240;SAMRUMUser;2009-09-04 09:00:40.240;0x000000000002F40B
1511;2031;2043;1;SAMRUMUser;2009-09-04 09:01:22.087;SAMRUMUser;2009-09-04 09:01:22.087;0x000000000002F40D
1513;2031;2044;1;SAMRUMUser;2009-09-04 09:02:31.070;SAMRUMUser;2009-09-04 09:02:31.070;0x000000000002F411
1518;2031;2055;1;SAMRUMUser;2009-09-04 09:11:26.510;SAMRUMUser;2009-09-04 09:11:26.510;0x000000000002F421
1519;2031;2056;1;SAMRUMUser;2009-09-04 09:12:56.713;SAMRUMUser;2009-09-04 09:12:56.713;0x000000000002F426
1520;2031;2057;1;SAMRUMUser;2009-09-04 09:14:09.697;SAMRUMUser;2009-09-04 09:14:09.697;0x000000000002F42B
1521;2031;2058;1;SAMRUMUser;2009-09-04 09:24:44.170;SAMRUMUser;2009-09-04 09:24:44.170;0x000000000002F430
1522;2031;2059;1;SAMRUMUser;2009-09-04 09:25:54.543;SAMRUMUser;2009-09-04 09:25:54.543;0x000000000002F435
1525;2031;2062;1;SAMRUMUser;2009-09-04 09:29:50.500;SAMRUMUser;2009-09-04 09:29:50.500;0x000000000002F444
1529;2064;2065;1;SAMRUMUser;2009-09-04 09:35:35.487;SAMRUMUser;2009-09-04 09:35:35.487;0x000000000002F455
1531;2064;2067;1;SAMRUMUser;2009-09-04 09:40:00.863;SAMRUMUser;2009-09-04 09:40:00.863;0x000000000002F45F
1532;2064;2068;1;SAMRUMUser;2009-09-04 09:41:08.830;SAMRUMUser;2009-09-04 09:41:08.830;0x000000000002F464
1533;2064;2069;1;SAMRUMUser;2009-09-04 09:42:17.317;SAMRUMUser;2009-09-04 09:42:17.317;0x000000000002F469
1534;2069;2070;1;SAMRUMUser;2009-09-04 09:43:37.613;SAMRUMUser;2009-09-04 09:43:37.613;0x000000000002F46E
1535;2069;2071;1;SAMRUMUser;2009-09-04 09:44:43.893;SAMRUMUser;2009-09-04 09:44:43.893;0x000000000002F473
1539;2031;2075;1;SAMRUMUser;2009-09-04 09:50:24.300;SAMRUMUser;2009-09-04 09:50:24.300;0x000000000002F487
1540;2031;2076;1;SAMRUMUser;2009-09-04 09:51:46.257;SAMRUMUser;2009-09-04 09:51:46.257;0x000000000002F48C
1541;2076;2077;1;SAMRUMUser;2009-09-04 09:53:16.503;SAMRUMUser;2009-09-04 09:53:16.503;0x000000000002F491
1542;2076;2078;1;SAMRUMUser;2009-09-04 09:54:42.977;SAMRUMUser;2009-09-04 09:54:42.977;0x000000000002F496
1543;2076;2079;1;SAMRUMUser;2009-09-04 09:57:14.553;SAMRUMUser;2009-09-04 09:57:14.553;0x000000000002F49B
1616;2094;2095;1;SAMRUMUser;2009-09-18 08:29:13.093;SAMRUMUser;2009-09-18 08:29:13.093;0x000000000002F937
1630;2120;2121;1;SAMRUMUser;2009-09-22 10:25:50.423;SAMRUMUser;2009-09-22 10:25:50.423;0x000000000002FB4C
1631;2117;2122;1;SAMRUMUser;2009-09-22 11:59:55.730;SAMRUMUser;2009-09-22 11:59:55.730;0x000000000002FB51
1632;2122;2123;1;SAMRUMUser;2009-09-22 12:01:45.090;SAMRUMUser;2009-09-22 12:01:45.090;0x000000000002FB56
1644;2161;2162;1;SAMRUMUser;2009-10-04 12:05:01.273;SAMRUMUser;2009-10-04 12:05:01.273;0x000000000002FE4A
1646;2200;2206;1;SAMRUMUser;2009-10-04 18:00:06.810;SAMRUMUser;2009-10-04 18:00:06.810;0x000000000002FF40
1649;2218;2221;1;SAMRUMUser;2009-10-07 21:10:50.470;SAMRUMUser;2009-10-07 21:10:50.470;0x000000000003004E
1651;2218;2229;1;SAMRUMUser;2009-10-08 13:43:55.140;SAMRUMUser;2009-10-08 13:43:55.140;0x00000000000300A5
1652;2218;2230;1;SAMRUMUser;2009-10-08 13:47:14.517;SAMRUMUser;2009-10-08 13:47:14.517;0x00000000000300B3
1672;2218;2260;1;SAMRUMUser;2009-10-15 17:47:59.173;SAMRUMUser;2009-10-15 17:47:59.173;0x0000000000030818
1673;2260;2263;1;SAMRUMUser;2009-10-15 18:00:25.473;SAMRUMUser;2009-10-15 18:00:25.473;0x0000000000030824
