PMO_ID;PMO_Name;PMO_Description;PMO_AllowIncompleteVersions;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp;PMO_PMF_ID_ProjectModuleFolder
119;Låssmed priser;NULL;0;SAMRUMUser;2009-09-30 19:19:25.900;SAMRUMUser;2010-03-21 21:27:50.570;0x0000000000032645;29
120;6.2.1 Kontoplan/Entreprenader;NULL;0;SAMRUMUser;2009-10-03 14:36:08.207;SAMRUMUser;2009-10-19 12:37:53.650;0x000000000003091D;23
121;6.3.1.1 Kontrakt/Ekonomi GE/TE-UE;NULL;0;SAMRUMUser;2009-10-03 14:44:51.367;SAMRUMUser;2011-06-09 09:47:41.237;0x000000000003D8F9;21
122;Adresslista;NULL;0;SAMRUMUser;2009-10-03 14:50:01.837;SAMRUMUser;2009-10-09 09:52:21.270;0x000000000003027E;19
123;6.3.1.2 Kontrakt/Ekonomi UE;NULL;0;SAMRUMUser;2009-10-04 13:39:39.283;SAMRUMUser;2011-06-09 09:47:07.320;0x000000000003D8F7;21
124;4.1 Besiktningsprotokoll Bygg;NULL;0;SAMRUMUser;2009-10-05 15:43:52.640;SAMRUMUser;2012-11-30 12:50:57.717;0x000000000004599B;25
125;4.2 Besiktning Byggentreprenör;NULL;0;SAMRUMUser;2009-10-05 15:44:53.590;SAMRUMUser;2012-11-30 12:51:30.750;0x000000000004599D;25
126;Handlingar till Byggnadsnämnden;NULL;0;SAMRUMUser;2009-10-08 10:19:36.897;SAMRUMUser;2015-06-27 11:15:53.277;0x0000000000054482;47
127;Skyddskommitté;NULL;0;SAMRUMUser;2009-10-09 10:24:48.373;SAMRUMUser;2014-02-13 20:52:00.267;0x000000000004ABAC;43
128;Skyddsronder;NULL;0;SAMRUMUser;2009-10-09 10:25:06.450;SAMRUMUser;2014-02-13 20:52:40.470;0x000000000004ABB4;43
129;Skyddsronder entreprenör;NULL;0;SAMRUMUser;2009-10-09 10:30:36.860;SAMRUMUser;2014-02-13 20:52:48.157;0x000000000004ABB6;43
130;Skyddskommitte entreprenör;NULL;0;SAMRUMUser;2009-10-09 10:31:00.827;SAMRUMUser;2014-02-13 20:52:11.390;0x000000000004ABAE;43
131;Skyddsrond separata prot;NULL;0;SAMRUMUser;2009-10-09 12:16:04.107;SAMRUMUser;2014-02-13 20:52:30.547;0x000000000004ABB2;43
132;Skyddsrond sep prot entreprenör;NULL;0;SAMRUMUser;2009-10-09 12:16:25.873;SAMRUMUser;2014-02-13 20:52:20.767;0x000000000004ABB0;43
133;Företagsintern adresslista;NULL;0;SAMRUMUser;2009-10-11 19:39:13.157;SAMRUMUser;2009-10-16 15:12:38.090;0x000000000003086F;24
135;6.2.2 Förfrågan/Beställning UE;NULL;0;SAMRUMUser;2009-10-11 20:34:09.297;SAMRUMUser;2011-06-09 09:49:28.907;0x000000000003D8FF;23
136;Ritningsarkiv;NULL;0;SAMRUMUser;2009-10-16 14:33:08.453;SAMRUMUser;2009-10-16 14:33:08.453;0x0000000000030829;27
141;05. Provningsprot. dörrmontage;NULL;0;SAMRUMUser;2009-12-29 15:50:04.940;SAMRUMUser;2022-10-16 11:09:44.467;0x00000000000804DE;135
142;SBA, Regelbunden kontroll dörrar;NULL;0;SAMRUMUser;2010-01-07 19:21:28.850;SAMRUMUser;2010-01-18 08:31:20.810;0x00000000000318EA;28
143;Varuinformationsblad;NULL;0;SAMRUMUser;2010-01-14 19:51:35.910;SAMRUMUser;2014-02-13 20:52:54.773;0x000000000004ABB8;43
144;Dokument arbetsmiljö;NULL;0;SAMRUMUser;2010-01-14 20:47:44.600;SAMRUMUser;2014-02-13 20:51:47.933;0x000000000004ABAA;43
145;SBA, Provning brandtekniska funktioner;NULL;0;SAMRUMUser;2010-01-18 08:31:52.167;SAMRUMUser;2010-08-15 12:11:27.790;0x0000000000036E2F;28
146;SBA, Regelbunden kontroll utrymningsvägar;NULL;0;SAMRUMUser;2010-01-20 09:56:40.967;SAMRUMUser;2010-01-20 09:56:40.967;0x00000000000319B3;28
147;SBA-Brandtätningar i elschakt;NULL;0;SAMRUMUser;2010-01-20 10:29:03.787;SAMRUMUser;2010-01-20 10:29:03.787;0x00000000000319FB;28
148;Brandtätningar i elschakt;NULL;0;SAMRUMUser;2010-01-20 10:36:48.273;SAMRUMUser;2017-04-16 09:09:25.280;0x000000000006ABD8;58
149;SBA, Regelbunden kontroll dörrar. Åtgärdade;NULL;0;SAMRUMUser;2010-01-21 20:56:43.710;SAMRUMUser;2010-01-21 20:56:43.710;0x0000000000031A19;28
150;SBA, Brandtätningar i elschakt, åtgärdade;NULL;0;SAMRUMUser;2010-01-22 17:08:36.267;SAMRUMUser;2010-01-22 17:08:36.267;0x0000000000031A78;28
151;Tilläggskostnader från GE/TE till Byggherre;NULL;0;SAMRUMUser;2010-02-02 14:30:12.273;SAMRUMUser;2011-06-09 09:44:42.317;0x000000000003D8F3;21
152;Gemensamma dokument;NULL;0;SAMRUMUser;2010-02-09 16:52:46.833;SAMRUMUser;2010-02-09 18:06:21.717;0x0000000000032101;19
153;Tilläggskostnader GE/TE;NULL;0;SAMRUMUser;2010-02-14 20:54:05.180;SAMRUMUser;2011-06-09 09:46:04.213;0x000000000003D8F5;21
154;Byggplatslista;NULL;0;SAMRUMUser;2010-02-16 20:41:44.823;SAMRUMUser;2010-02-16 20:41:44.823;0x00000000000322C9;19
155;Låssmed prislista;NULL;0;SAMRUMUser;2010-03-21 17:38:51.140;SAMRUMUser;2010-03-21 21:27:36.970;0x0000000000032643;29
156;Dörrar teknik 3 lås, exkl larm o säk;NULL;0;SAMRUMUser;2010-04-10 10:39:46.050;SAMRUMUser;2010-07-27 10:19:10.737;0x0000000000035E6D;30
157;Dörrar larm o säk;NULL;0;SAMRUMUser;2010-04-10 10:40:17.073;SAMRUMUser;2010-04-10 10:40:17.073;0x00000000000331B2;30
158;IFC-test;NULL;0;SAMRUMUser;2010-04-13 16:52:35.117;SAMRUMUser;2010-04-13 16:52:35.117;0x0000000000033287;31
160;Låssmed kund;NULL;0;SAMRUMUser;2010-04-18 21:04:30.170;SAMRUMUser;2010-04-18 21:04:30.170;0x0000000000034009;29
161;IFC-Administration;NULL;0;SAMRUMUser;2010-04-20 13:58:22.407;SAMRUMUser;2010-04-20 13:58:22.407;0x0000000000034027;31
162;AMA-beskrivning bygg;NULL;0;SAMRUMUser;2010-05-25 18:11:45.083;SAMRUMUser;2010-05-25 18:11:45.083;0x0000000000034449;9
163;3.33 Dörrar brandkrav;NULL;0;SAMRUMUser;2010-07-16 11:55:39.373;SAMRUMUser;2022-10-16 11:19:14.133;0x00000000000804EA;138
164;Dörrar Teknik, 2 lås;NULL;0;SAMRUMUser;2010-07-23 07:59:22.150;SAMRUMUser;2017-04-15 22:36:43.067;0x000000000006AB7E;14
165;Låssmed 2 lås;NULL;0;SAMRUMUser;2010-07-23 08:04:18.403;SAMRUMUser;2010-07-23 08:04:18.403;0x00000000000358CA;29
166;Låssmed 3 lås, exkl larm o säkerhet;NULL;0;SAMRUMUser;2010-07-23 13:24:17.117;SAMRUMUser;2010-07-23 13:24:17.117;0x0000000000035CE4;29
