OTC_ID;OTC_Name;OTC_Description;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
22;Rumsinfo nyttjare;NULL;SAMRUMUser;2015-06-05 22:47:01.240;SAMRUMUser;2015-06-05 22:47:01.240;0x0000000000052B17
23;Byggnadstekniska krav;NULL;SAMRUMUser;2015-06-06 08:05:28.290;SAMRUMUser;2015-06-06 08:05:28.290;0x0000000000052B26
24;Klimatkrav;NULL;SAMRUMUser;2015-06-06 08:06:10.033;SAMRUMUser;2015-06-06 08:06:10.033;0x0000000000052B27
25;Ventilationskrav;NULL;SAMRUMUser;2015-06-06 08:07:26.650;SAMRUMUser;2015-06-06 08:07:26.650;0x0000000000052B28
26;Eltekniska krav;NULL;SAMRUMUser;2015-06-06 08:28:04.190;SAMRUMUser;2015-06-06 08:28:04.190;0x0000000000052B89
27;Inredning, installationsanknuten. Krav;NULL;SAMRUMUser;2015-06-06 08:38:27.520;SAMRUMUser;2015-06-07 16:14:32.653;0x0000000000053856
28;Inredning, fast. Krav;NULL;SAMRUMUser;2015-06-06 08:38:48.527;SAMRUMUser;2015-06-07 16:13:59.810;0x0000000000053854
29;Inredning, lös. Krav;NULL;SAMRUMUser;2015-06-06 08:39:05.770;SAMRUMUser;2015-06-07 16:14:54.723;0x0000000000053858
30;Brand- brandlarm och sprinklerkrav;NULL;SAMRUMUser;2015-06-06 08:48:03.623;SAMRUMUser;2015-06-06 08:55:38.100;0x0000000000052C0B
31;Rörtekniska krav;NULL;SAMRUMUser;2015-06-06 08:48:21.457;SAMRUMUser;2015-06-06 08:48:21.457;0x0000000000052BF3
32;Medicinska gaser, krav;NULL;SAMRUMUser;2015-06-06 09:07:10.987;SAMRUMUser;2015-06-07 16:16:48.650;0x000000000005385E
33;Akustik-krav;NULL;SAMRUMUser;2015-06-06 09:07:35.703;SAMRUMUser;2015-06-06 09:07:35.703;0x0000000000052C69
34;Dokument, krav;NULL;SAMRUMUser;2015-06-06 13:15:51.057;SAMRUMUser;2015-06-07 16:16:19.660;0x000000000005385A
35;Kyl- och uppvärmningmetoder, krav;NULL;SAMRUMUser;2015-06-06 15:07:28.773;SAMRUMUser;2015-06-07 16:16:32.637;0x000000000005385C
36;Styrtekniska funktionskrav;NULL;SAMRUMUser;2015-06-06 15:38:23.147;SAMRUMUser;2015-06-06 15:38:23.147;0x0000000000052ED7
37;Dörrstängare och dörrkoordinatorer;NULL;SAMRUMUser;2015-06-06 15:43:06.593;SAMRUMUser;2015-06-17 20:27:55.750;0x0000000000053C69
38;Låskistor och kabelöverföringar;NULL;SAMRUMUser;2015-06-06 15:43:25.957;SAMRUMUser;2015-06-17 20:29:34.837;0x0000000000053C6F
39;Slutbleck;NULL;SAMRUMUser;2015-06-06 15:43:44.350;SAMRUMUser;2015-06-06 15:43:44.350;0x0000000000052EDE
40;Trycken och behör, kantreglar och spanjoletter;NULL;SAMRUMUser;2015-06-06 15:44:47.567;SAMRUMUser;2015-06-17 20:56:41.990;0x0000000000053CBF
41;Dörrautomatiker;NULL;SAMRUMUser;2015-06-06 16:06:52.063;SAMRUMUser;2015-06-06 16:06:52.063;0x0000000000052F98
42;Projekterad installationsanknuten inredning;NULL;SAMRUMUser;2015-06-06 18:50:37.830;SAMRUMUser;2015-06-06 18:50:37.830;0x0000000000052FB0
43;Projekterad fast inredning;NULL;SAMRUMUser;2015-06-06 18:50:55.213;SAMRUMUser;2015-06-06 18:50:55.213;0x0000000000052FB1
44;Projekterad lös inredning/utrustning;NULL;SAMRUMUser;2015-06-06 18:51:27.913;SAMRUMUser;2015-06-06 18:51:27.913;0x0000000000052FB2
45;Projekterad el;NULL;SAMRUMUser;2015-06-06 18:53:34.840;SAMRUMUser;2015-06-06 18:53:34.840;0x0000000000052FB3
46;Projekterad tele;NULL;SAMRUMUser;2015-06-06 18:54:13.130;SAMRUMUser;2015-06-06 18:54:13.130;0x0000000000052FB4
47;Brandskyddsprojektering;NULL;SAMRUMUser;2015-06-06 18:54:48.850;SAMRUMUser;2015-06-06 18:54:48.850;0x0000000000052FB5
48;Sakvaror;NULL;SAMRUMUser;2015-06-06 19:02:22.890;SAMRUMUser;2015-06-06 19:02:22.890;0x0000000000052FB6
49;Sprinkler i rum;NULL;SAMRUMUser;2015-06-06 19:05:43.557;SAMRUMUser;2015-06-06 19:05:43.557;0x0000000000052FBA
50;Invändiga tak och behandlingar;NULL;SAMRUMUser;2015-06-06 21:02:03.860;SAMRUMUser;2015-06-06 21:02:03.860;0x0000000000052FD6
52;Väggtyper;NULL;SAMRUMUser;2015-06-07 09:32:47.510;SAMRUMUser;2015-06-07 09:32:47.510;0x0000000000053030
53;Brand- och säkerhetsklasser;NULL;SAMRUMUser;2015-06-07 15:25:41.450;SAMRUMUser;2015-06-07 15:25:41.450;0x0000000000053804
