OTRM_ID;OTRM_OTR_ID_ObjectTypeRelationship;OTRM_PMO_ID_Module;OTRM_ReadOnly;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
3302;1037;32;0;SAMRUMDev;2007-12-27 09:48:09.457;SAMRUMDev;2007-12-27 09:48:09.457;0x0000000000013612
3701;1267;68;1;SAMRUMDev;2008-04-27 16:55:25.147;SAMRUMDev;2008-04-27 16:55:25.147;0x0000000000015693
3702;1267;73;0;SAMRUMDev;2008-04-27 16:55:25.163;SAMRUMDev;2008-04-27 16:55:25.163;0x0000000000015694
3749;1273;68;1;SAMRUMDev;2008-04-27 21:48:53.130;SAMRUMDev;2008-04-27 21:48:53.130;0x000000000001570A
3750;1273;75;0;SAMRUMDev;2008-04-27 21:48:53.130;SAMRUMDev;2008-04-27 21:48:53.130;0x000000000001570B
3751;1274;68;1;SAMRUMDev;2008-04-27 21:49:37.770;SAMRUMDev;2008-04-27 21:49:37.770;0x000000000001570E
3752;1274;75;0;SAMRUMDev;2008-04-27 21:49:37.770;SAMRUMDev;2008-04-27 21:49:37.770;0x000000000001570F
3753;1275;68;1;SAMRUMDev;2008-04-27 21:50:17.770;SAMRUMDev;2008-04-27 21:50:17.770;0x0000000000015712
3754;1275;75;0;SAMRUMDev;2008-04-27 21:50:17.770;SAMRUMDev;2008-04-27 21:50:17.770;0x0000000000015713
3755;1276;68;1;SAMRUMDev;2008-04-27 21:50:36.163;SAMRUMDev;2008-04-27 21:50:36.163;0x0000000000015714
3756;1276;75;0;SAMRUMDev;2008-04-27 21:50:36.163;SAMRUMDev;2008-04-27 21:50:36.163;0x0000000000015715
3757;1277;68;1;SAMRUMDev;2008-04-27 21:50:51.833;SAMRUMDev;2008-04-27 21:50:51.833;0x0000000000015716
3758;1277;75;0;SAMRUMDev;2008-04-27 21:50:51.833;SAMRUMDev;2008-04-27 21:50:51.833;0x0000000000015717
4015;1328;75;0;SAMRUMDev;2008-05-01 20:34:02.077;SAMRUMDev;2008-05-01 20:34:02.077;0x00000000000159A3
4016;1328;77;1;SAMRUMDev;2008-05-01 20:34:02.077;SAMRUMDev;2008-05-01 20:34:02.077;0x00000000000159A4
4017;1329;75;0;SAMRUMDev;2008-05-01 20:34:21.547;SAMRUMDev;2008-05-01 20:34:21.547;0x00000000000159A5
4018;1329;77;1;SAMRUMDev;2008-05-01 20:34:21.547;SAMRUMDev;2008-05-01 20:34:21.547;0x00000000000159A6
4019;1330;75;0;SAMRUMDev;2008-05-01 20:34:36.873;SAMRUMDev;2008-05-01 20:34:36.873;0x00000000000159A7
4020;1330;77;1;SAMRUMDev;2008-05-01 20:34:36.873;SAMRUMDev;2008-05-01 20:34:36.873;0x00000000000159A8
4021;1336;75;0;SAMRUMDev;2008-05-01 20:34:53.310;SAMRUMDev;2008-05-01 20:34:53.310;0x00000000000159A9
4022;1336;77;1;SAMRUMDev;2008-05-01 20:34:53.310;SAMRUMDev;2008-05-01 20:34:53.310;0x00000000000159AA
4023;1331;75;0;SAMRUMDev;2008-05-01 20:35:10.890;SAMRUMDev;2008-05-01 20:35:10.890;0x00000000000159AB
